가게,주소,도로명주소,경도,위도
스타벅스 천호역점,성내동 62-4,서울 강동구 천호대로 1012 태승빌딩 1층,127.1243692,37.53788355
스타벅스 수유역점,번동 418-20,서울 강북구 도봉로 342,127.0261256,37.63803283
스타벅스 논현역사거리점,논현동 142-2,서울 강남구 강남대로 538,127.0222678,37.51022086
스타벅스 삼성역섬유센터R점,대치동 944-31,서울 강남구 테헤란로 518,127.0605742,37.5075898
스타벅스 여의도KBS R점,여의도동 17-9,서울 영등포구 의사당대로 26,126.9181067,37.52653714
스타벅스 강동역점,천호동 447-17,서울 강동구 천호대로 1089,127.1335881,37.53675867
스타벅스 서교동사거리,서교동 374-20,서울 마포구 양화로 105,126.9185724,37.5534125
스타벅스 여의도공원R점,여의도동 12,서울 영등포구 여의공원로 101,126.9249611,37.52929755
스타벅스 중랑역점,상봉동 130-3,서울 중랑구 망우로30길 3,127.0747566,37.59306852
스타벅스 올림픽공원북문점,성내동 468,서울 강동구 강동대로 171 스타벅스,127.1259439,37.5254523
스타벅스 영동2교점,양재동 4-3,서울 서초구 논현로 139 대흥빌딩,127.0426085,37.48199677
스타벅스 창동이마트점,창동 75-3,서울 도봉구 노해로65길 4,127.0474655,37.65198283
스타벅스 갤러리아팰리스점,잠실동 40,서울 송파구 올림픽로 212 갤리러아팰리스 1층,127.0935516,37.51138395
스타벅스 가락시장역점,가락동 79,서울 송파구 중대로 121 롯데캐슬 파인힐1층,127.1214048,37.49434787
스타벅스 광나루,광장동 329-1,서울 광진구 아차산로 607,127.1060155,37.54735771
스타벅스 마포아크로점,도화동 563,서울 마포구 마포대로 68 마포 아크로타워 118호,126.948886,37.54133388
스타벅스 숭실대점,상도동 501-9,서울 동작구 사당로 4,126.954846,37.49540078
스타벅스 학여울역점,대치동 994-10,서울 강남구 영동대로 215,127.0685123,37.49799741
스타벅스 남부터미널2점,서초동 1457-1,서울 서초구 효령로 274,127.0142134,37.48439387
스타벅스 국립중앙의료원점,을지로6가 18-131,서울 중구 을지로 251,127.0062514,37.56655498
스타벅스 우장산역점,내발산동 719-6,"서울 강서구 강서로 267 송화쇼핑센터 1층,지하층",126.8359412,37.54960009
스타벅스 내방역점,방배동 851-1,서울 서초구 방배로 184 1~2층,126.9924669,37.49001411
스타벅스 미아역점,미아동 121-19,서울 강북구 도봉로 196 1층,127.0265518,37.62613951
스타벅스 한성대입구역점,성북동1가 35-1,서울 성북구 성북로 11,127.0049319,37.58905017
스타벅스 여의도호성점,여의도동 44-22,서울 영등포구 여의대방로65길 24 호성빌딩1층,126.9292942,37.52044195
스타벅스 구로디지털로점,구로동 191-7,서울 구로구 디지털로33길 11 에이스테크노타워 8차 1층,126.8955116,37.48570493
스타벅스 은행사거리점,중계동 360-6,"서울 노원구 중계로 217 중흥빌딩 103,203호",127.0759914,37.65050261
스타벅스 선유도역점,양평동4가 98-5,서울 영등포구 양평로 115,126.8946072,37.53730956
스타벅스 스탈릿대치R점,대치동 599,서울 강남구 남부순환로 2947 대원빌딩,127.0626677,37.49457607
스타벅스 강남대로논현R점,반포동 736-2,서울 서초구 강남대로85길 5,127.0225949,37.50736613
스타벅스 을지로4가역점,을지로4가 323,"서울 중구 을지로 170 118,119호,202호",126.9973193,37.56613501
스타벅스 자양점,자양동 507-36,서울 광진구 능동로 50 이튼타워리버2차 상가 108호,127.0691552,37.53567927
스타벅스 서울교대점,서초동 1623-1,서울 서초구 서초중앙로 64 1층,127.0151741,37.48743698
스타벅스 송파아이파크,문정동 624,서울 송파구 법원로 55,127.1219573,37.47986017
