건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
창용빌리지,오류동 19-11,3층,2020 7 6,"    18,000/         0",70.75,21.4,2002,8411.214953271028,0.0,연립/다세대,적정보증금,적정월세,126.861744,37.551062
록지아트빌라101동,오류동 108-4,3층,2020 7 8,"     7,500/        10",39.24,11.9,1993,8605.805958747134,4.201680672268908,연립/다세대,적정보증금,적정월세,126.84841000000002,37.535066
오성타운,오류동 156-1,3층,2020 7 12,"    13,000/         0",72.24,21.9,1998,5230.723540112113,12.195121951219509,연립/다세대,적정보증금,적정월세,126.851119,37.547238
삼우빌라(나),오류동 145-97,1층,2020 7 16,"     4,000/         0",34.46,10.4,1992,3846.1538461538453,0.0,연립/다세대,적정보증금,적정월세,126.96153,37.474132
궁빌라(185-1),오류동 185-1,2층,2020 7 17,"    17,000/         0",78.78,23.8,1984,7142.857142857142,0.0,연립/다세대,적정보증금,적정월세,126.846492,37.537624
성신빌라(가)(다),오류동 184-1,3층,2020 7 20,"    11,000/         0",68.26,20.6,1982,3694.434595000234,9.178743961352655,연립/다세대,적정보증금,적정월세,126.862993,37.550804
서서울가든맨션,오류동 184-2,2층,2020 7 20,"    12,000/         0",86.92,26.3,1985,4562.737642585551,0.0,연립/다세대,적정보증금,적정월세,126.84631,37.537694
우정그린빌라 3차(1-101),오류동 1-101,4층,2020 7 23,"    12,000/         0",54.72,16.6,1997,7228.915662650602,0.0,연립/다세대,적정보증금,적정월세,126.853546,37.552857
성화스위트빌(B동),오류동 14-480,2층,2020 7 27,"    16,000/         0",72.02,21.8,2003,7339.4495412844035,0.0,연립/다세대,적정보증금,적정월세,126.855333,37.535872
동진아트빌(9-115),오류동 9-115,1층,2020 7 29,"     2,000/        40",100.38,30.4,2002,657.8947368421052,26.315789473684212,연립/다세대,적정보증금,적정월세,126.858718,37.549843
럭키빌라,오류동 137-1,2층,2020 7 30,"    11,000/         0",65.91,19.9,1985,6817.8731495314405,0.0,연립/다세대,적정보증금,적정월세,126.931703,37.492599
록지아트빌라103,오류동 108-82,4층,2020 7 31,"    14,000/         0",58.89,17.8,1993,7865.168539325842,0.0,연립/다세대,적정보증금,적정월세,126.846968,37.551558
동도아트빌A동,오류동 235,5층,2020 7 31,       100/        10,37.29,11.3,2001,88.49557522123894,8.849557522123892,연립/다세대,적정보증금,적정월세,126.854341,37.533402
골든프라자,궁동 188-1,3층,2020 7 6,"    19,000/         0",79.57,24.1,1997,4847.7058151422225,10.869565217391305,연립/다세대,적정보증금,적정월세,126.85912,37.547216
남정그린빌라,궁동 285-2,3층,2020 7 10,"    13,000/         0",52.2,15.8,1995,8227.848101265823,0.0,연립/다세대,적정보증금,적정월세,126.847931,37.548531
삼우빌라(212-2),궁동 212-2,2층,2020 7 10,"     2,000/        50",46.23,14.0,1991,1428.5714285714291,35.714285714285715,연립/다세대,적정보증금,적정월세,126.842668,37.533189
"해가온(101동,102동)",궁동 187-23,3층,2020 7 14,"     1,750/        23",48.27,14.6,2018,1200.753917414014,15.790381393515325,연립/다세대,적정보증금,적정월세,126.846457,37.54577800000001
"블레스빌 가동,나동",궁동 89-8,2층,2020 7 14,"     1,692/        22",45.35,13.7,2019,1216.6895188934145,15.764003710126223,연립/다세대,적정보증금,적정월세,126.844808,37.541184
궁골별장빌리지(78-8),궁동 78-8,3층,2020 7 18,"    21,000/         0",73.49,22.2,2004,9009.009009009007,0.0,연립/다세대,적정보증금,적정월세,126.852628,37.530034
대우빌라(284-10),궁동 284-10,3층,2020 7 29,"    12,500/         0",49.44,15.0,1994,8333.333333333334,0.0,연립/다세대,적정보증금,적정월세,126.850911,37.532774
태성빌라,온수동 22-3,1층,2020 7 11,"     4,000/         0",58.68,17.8,1995,2247.191011235955,0.0,연립/다세대,적정보증금,적정월세,126.840577,37.533079
태영렉스빌 102동,온수동 86-21,3층,2020 7 12,"    14,000/         0",49.95,15.1,2002,9271.523178807947,0.0,연립/다세대,적정보증금,적정월세,126.837108,37.535694
삼성그린빌,온수동 75-5,2층,2020 7 13,"     1,000/        10",74.83,22.6,2004,442.4778761061947,4.4247787610619485,연립/다세대,적정보증금,적정월세,126.909175,37.483364
정우빌라,등촌동 518-28,1층,2020 7 2,"     2,000/        70",66.36,20.1,1994,4424.214008491573,17.41293532338308,연립/다세대,적정보증금,적정월세,126.853561,37.534089
태경하이츠,등촌동 567-2,3층,2020 7 11,"    20,000/         0",76.58,23.2,2002,8620.689655172413,0.0,연립/다세대,적정보증금,적정월세,126.843664,37.533884
동서빌라트,등촌동 530-17,4층,2020 7 17,"    17,000/         0",65.97,20.0,1996,9880.63063063063,0.0,연립/다세대,적정보증금,적정월세,126.920581,37.478072
아트빌라7동,등촌동 515-51,2층,2020 7 20,"    10,000/         0",36.48,11.0,1989,10000.0,0.0,연립/다세대,적정보증금,적정월세,126.844733,37.543806
보람하이빌(518-18),등촌동 518-18,4층,2020 7 20,"    25,000/         0",84.04,25.4,2001,9842.519685039373,0.0,연립/다세대,적정보증금,적정월세,126.843598,37.547002
목련주택,등촌동 643-44,1층,2020 7 20,"    18,000/         0",82.24,24.9,1980,7228.915662650603,0.0,연립/다세대,적정보증금,적정월세,126.848863,37.536503
서암파크빌라,등촌동 533-46,2층,2020 7 24,"    13,000/         0",45.37,13.7,2003,9489.051094890512,0.0,연립/다세대,적정보증금,적정월세,126.843333,37.534097
동아빌라트다동,등촌동 575-10,4층,2020 7 29,"    13,000/         0",54.98,16.6,2002,7831.325301204819,0.0,연립/다세대,적정보증금,적정월세,126.840382,37.534663
남경스위트,화곡동 789-5,4층,2020 7 1,"     8,000/        50",54.1,16.4,2001,4878.048780487806,30.48780487804878,연립/다세대,적정보증금,적정월세,126.846596,37.544806
코리아빌하우스,화곡동 818-10,2층,2020 7 1,"    15,000/         0",62.02,18.8,2002,7978.723404255318,0.0,연립/다세대,적정보증금,적정월세,126.852032,37.548968
우성테마빌B동,화곡동 394-51,2층,2020 7 1,"    19,000/         0",65.44,19.8,2004,5808.080808080808,15.151515151515152,연립/다세대,적정보증금,적정월세,126.927507,37.485514
(430-6),화곡동 430-6,1층,2020 7 1,"     7,000/         0",33.2,10.0,1986,7000.0,0.0,연립/다세대,적정보증금,적정월세,126.848969,37.542126
해성펠리스빌A,화곡동 869-5,1층,2020 7 2,"    16,000/         0",60.42,18.3,2002,8743.169398907105,0.0,연립/다세대,적정보증금,적정월세,126.841562,37.535918
중앙빌라,화곡동 870-36,1층,2020 7 2,"    10,470/         0",38.69,11.7,1993,9175.213675213676,0.0,연립/다세대,적정보증금,적정월세,126.842418,37.53471
동도하이츠빌라(A동),화곡동 164-52,3층,2020 7 3,"    14,000/         0",46.38,14.0,2001,10000.0,0.0,연립/다세대,적정보증금,적정월세,126.843752,37.546544
호반아트빌라,화곡동 24-330,5층,2020 7 3,"    13,000/         0",48.73,14.7,2001,8843.537414965987,0.0,연립/다세대,적정보증금,적정월세,126.84668,37.542284
셈힐,화곡동 409-9,4층,2020 7 3,"    17,000/         0",68.31,20.7,2003,8484.299516908213,0.0,연립/다세대,적정보증금,적정월세,126.934243,37.478574
낙원빌라(353-42),화곡동 353-42,1층,2020 7 3,"    11,000/         0",46.68,14.1,1990,7801.4184397163135,0.0,연립/다세대,적정보증금,적정월세,126.84618,37.541738
한빛스카이빌,화곡동 166-22,4층,2020 7 3,"     1,000/        43",31.15,9.4,2008,7454.991816693945,22.872340425531913,연립/다세대,적정보증금,적정월세,126.860529,37.535697
남경베스트빌(C동),화곡동 158-26,3층,2020 7 4,"    18,000/         0",64.02,19.4,2001,9278.350515463919,0.0,연립/다세대,적정보증금,적정월세,126.860005,37.535935
국제아트빌,화곡동 504-180,2층,2020 7 4,"     6,000/         0",45.9,13.9,2002,4316.546762589928,0.0,연립/다세대,적정보증금,적정월세,126.853534,37.536629
성우주택,화곡동 1066-12,4층,2020 7 4,"    13,500/         0",39.02,11.8,2001,6567.79661016949,23.30508474576272,연립/다세대,적정보증금,적정월세,126.837624,37.573875
신흥아너스빌가동,화곡동 877-9,4층,2020 7 4,"    17,000/         0",59.48,18.0,2007,9444.444444444445,0.0,연립/다세대,적정보증금,적정월세,126.833696,37.543355
우성빌라,화곡동 410-24,4층,2020 7 5,"    18,300/         0",62.54,18.9,1991,9682.539682539684,0.0,연립/다세대,적정보증금,적정월세,126.84175,37.544245
수명빌라,화곡동 1008-12,1층,2020 7 5,       500/        20,84.39,25.5,1997,5000.0,3.92156862745098,연립/다세대,적정보증금,적정월세,126.83489,37.542267
(102-287),화곡동 102-287,2층,2020 7 6,"    12,000/        20",48.7,14.7,1995,8163.265306122449,13.60544217687075,연립/다세대,적정보증금,적정월세,126.849127,37.537713
한성아트빌(24-277),화곡동 24-277,1층,2020 7 6,"    15,000/         0",56.49,17.1,2001,8771.929824561403,0.0,연립/다세대,적정보증금,적정월세,126.842652,37.539325
동성베스트빌,화곡동 1045-38,5층,2020 7 6,"    17,000/        15",70.18,21.2,2002,8018.867924528303,7.075471698113207,연립/다세대,적정보증금,적정월세,126.841811,37.532983
인터시티빌라B,화곡동 454-3,3층,2020 7 6,"     3,000/        60",61.26,18.5,2001,6432.4324324324325,16.216216216216218,연립/다세대,적정보증금,적정월세,127.02116399999998,37.563511
블루파크빌2차,화곡동 24-195,4층,2020 7 7,"    12,000/        10",43.7,13.2,2002,9090.909090909092,7.575757575757576,연립/다세대,적정보증금,적정월세,126.842507,37.531142
신성연립,화곡동 958-4,4층,2020 7 8,"     8,000/         0",30.27,9.2,1994,8695.652173913044,0.0,연립/다세대,적정보증금,적정월세,126.838717,37.540665
한빛빌라,화곡동 112-36,2층,2020 7 8,"    17,500/         0",57.69,17.5,2002,10000.0,0.0,연립/다세대,적정보증금,적정월세,126.8574,37.53609
남경리버빌(55-19),화곡동 55-19,2층,2020 7 8,"    15,800/         0",54.09,16.4,2000,9634.146341463416,0.0,연립/다세대,적정보증금,적정월세,126.838604,37.54061
신성빌라,화곡동 936-32,1층,2020 7 8,"     7,000/        20",37.32,11.3,1989,6194.6902654867245,17.69911504424779,연립/다세대,적정보증금,적정월세,126.845285,37.548388
유니온쉐르빌B,화곡동 409-193,4층,2020 7 8,"    13,000/         0",43.62,13.2,2002,9848.484848484848,0.0,연립/다세대,적정보증금,적정월세,126.850493,37.534969
삼원피아트B동,화곡동 409-103,1층,2020 7 8,"    18,500/         0",62.25,18.8,2001,7969.858156028368,2.6595744680851063,연립/다세대,적정보증금,적정월세,126.955785,37.478307
벽산홈타운(969-14),화곡동 969-14,3층,2020 7 9,"    13,500/         0",54.77,16.6,2002,9186.746987951808,0.0,연립/다세대,적정보증금,적정월세,126.922991,37.473967
서광빌라,화곡동 421-11,3층,2020 7 9,"    15,000/         0",44.08,13.3,2002,6954.8872180451135,21.929824561403507,연립/다세대,적정보증금,적정월세,127.092321,37.585461
예화빌라트,화곡동 886-1,4층,2020 7 9,"    21,000/         0",84.345,25.5,2000,8297.447280799111,0.0,연립/다세대,적정보증금,적정월세,127.066881,37.568134
(504-198),화곡동 504-198,1층,2020 7 9,"     6,500/         3",67.32,20.4,1986,3186.274509803921,1.4705882352941178,연립/다세대,적정보증금,적정월세,126.850064,37.531207
대산그린빌라(95-23),화곡동 95-23,1층,2020 7 9,"    14,400/         0",52.42,15.9,2001,9056.603773584906,0.0,연립/다세대,적정보증금,적정월세,126.850562,37.546656
중앙하이클래스,화곡동 59-15,2층,2020 7 10,"    15,000/         0",59.42,18.0,2008,8333.333333333334,0.0,연립/다세대,적정보증금,적정월세,126.84296100000002,37.534706
월드하우스,화곡동 342-14,3층,2020 7 10,"     3,000/        70",72.84,22.0,2003,1363.6363636363635,31.818181818181817,연립/다세대,적정보증금,적정월세,126.846284,37.540857
한성,화곡동 461-1,1층,2020 7 10,"    12,000/         0",57.96,17.5,1982,6857.142857142857,0.0,연립/다세대,적정보증금,적정월세,126.84781,37.543169
금화하이빌,화곡동 1046-13,3층,2020 7 11,"    23,000/         0",67.11,20.3,2010,4811.165845648604,17.24137931034483,연립/다세대,적정보증금,적정월세,127.080995,37.585815
진보빌라,화곡동 398-28,3층,2020 7 11,"     1,000/        60",57.87,17.5,2001,6128.105590062112,17.142857142857142,연립/다세대,적정보증금,적정월세,126.815115,37.555523
남경쉐르빌,화곡동 166-16,2층,2020 7 11,"    16,000/         0",58.66,17.7,2001,9039.54802259887,0.0,연립/다세대,적정보증금,적정월세,126.837513,37.538022
예림그린빌라,화곡동 339-11,4층,2020 7 11,"     1,500/        62",59.94,18.1,1993,7458.563535911601,11.418047882136278,연립/다세대,적정보증금,적정월세,126.946099,37.477257
