건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
DK밸리뷰시티, 서초동 1584-6,3층,2020 6 18,"12,169/15",35.82,10.8,2019,13502.927974931303,25.462330553895477
보배오피스텔, 봉천동 876-14,2층,2020 6 2,"1,000/48",21.12,6.4,2004,1562.5,75.0
오크밸리, 봉천동 960-12,6층,2020 6 2,"8,000/15",18.54,5.6,2003,14458.87445887446,21.04978354978355
대우디오슈페리움1단지, 봉천동 856-5,17층,2020 6 3,"50,000/0",93.11,28.2,2007,8285.37865773392,24.368986194394083
봉천동오피스텔, 봉천동 876-9,5층,2020 6 4,"7,500/0",19.38,5.9,2000,12248.41101694915,0.0
	(881-8)	, 봉천동 881-8,6층,2020 6 4,"3,000/25",17.09,5.2,2004,5769.2307692307695,48.07692307692307
마이홈타운, 봉천동 896-36,2층,2020 6 4,"16,000/0",16.18,4.9,2020,36175.37574140563,0.9652509652509651
샤인텔, 봉천동 892-23,5층,2020 6 4,"1,000/35",16.12,4.9,2003,2040.816326530612,71.42857142857142
이즈빌, 봉천동 1595-3,4층,2020 6 6,"2,000/36",17.16,5.2,2004,3846.1538461538457,69.23076923076923
봉대오피스텔, 봉천동 881-31,2층,2020 6 7,"1,000/38",16.5,5.0,2002,1986.9281045751634,77.28104575163398
보성오피스텔, 봉천동 41-306,7층,2020 6 7,"2,000/40",21.3,6.4,2001,16729.70013477089,7.8125
태천대, 구로동 1131-8,3층,2020 6 2,"1,000/50",30.51,9.2,2003,1207.729468599034,53.140096618357504
아카데미하우스, 상도동 183-15,4층,2020 6 10,"5,000/0",13.86,4.2,2003,13944.468950887438,0.0
대방주상복합빌딩, 대방동 394-11,5층,2020 6 5,"27,500/0",48.08,14.5,2016,20488.505747126437,0.0
다베로, 녹번동 83-62,7층,2020 6 10,500/0,49.16,14.9,2019,335.57046979865777,0.0
거장메카, 녹번동 183-2,2층,2020 6 16,"5,000/20",59.69,18.1,2019,2762.430939226519,11.049723756906076
	(131-14)	, 녹번동 131-14,3층,2020 6 26,"7,000/10",25.47,7.7,2003,9212.662337662337,14.587842712842718
세민하이파크, 불광동 12-2,6층,2020 6 8,"31,000/0",52.28,15.8,2020,18504.724381514374,0.0
유니파크, 불광동 221-1,4층,2020 6 12,"8,268/0",18.06,5.5,2016,15032.727272727272,0.0
더클래스, 불광동 13-7,4층,2020 6 27,"23,000/0",43.56,13.2,2019,17424.242424242424,0.0
	(224-11)	, 대조동 224-11,3층,2020 6 13,300/40,19.32,5.8,2002,517.2413793103449,68.96551724137932
유림하이빌, 대조동 31-16,5층,2020 6 26,"2,000/30",17.98,5.4,2003,5593.348450491308,27.77777777777778
	(116-20)	, 응암동 116-20,6층,2020 6 5,"10,000/0",19.89,6.0,2002,16666.666666666668,0.0
O.K 팰리스, 응암동 118-39,4층,2020 6 9,"19,500/0",41.87,12.7,2018,15354.330708661419,0.0
	(20-2)	, 응암동 20-2,7층,2020 6 12,"11,000/0",39.72,12.0,2002,9166.666666666666,0.0
디우아르떼빌, 응암동 354-3,4층,2020 6 15,"32,000/0",59.43,18.0,2020,17500.0,0.0
신아굿모닝빌, 응암동 110-27,6층,2020 6 22,"23,000/0",39.79,12.0,2020,19166.666666666668,0.0
대신텔, 응암동 111-57,4층,2020 6 27,"8,263/0",23.52,7.1,2003,11638.028169014086,0.0
용문 하이오피스텔, 용문동 10-4,4층,2020 6 11,"3,000/50",28.95,8.8,2004,2045.454545454545,59.09090909090908
G&P 용산파크, 문배동 11-34,2층,2020 6 20,"3,000/100",39.75,12.0,2018,2500.0,83.33333333333334
