건물명,주소,위도,경도
대동리버파크빌, 독산동 296-60,37.47215834,126.895657
와이피하우스, 독산동 296-7,37.47193551,126.8954929
YP타운, 독산동 298-9,37.47243656,126.8946643
독산동주상복합, 독산동 303-1,37.47213794,126.8914247
우정오피스텔, 독산동 331-4,37.46756786,126.8940446
(331-40), 독산동 331-40,37.46672968,126.8938917
씨티오피스텔, 독산동 332-24,37.46674182,126.8919743
한강빌딩, 독산동 332-37,37.46768426,126.8915463
해송빌딩, 독산동 332-59,37.46773137,126.8917307
"	(333-2)	", 독산동 333-2,37.47002817,126.8909214
메종에떼르넬, 독산동 336-29,37.47104031,126.8878843
GREEN HILL, 독산동 950-5,37.47942563,126.9044697
보성빌딩, 독산동 952-34,37.47928612,126.9023178
삼부르네상스플러스, 독산동 953,37.4785541,126.9004775
로하스타워, 독산동 959,37.47881498,126.9030106
"	(960-11)	", 독산동 960-11,37.47813737,126.9043109
아우르 하우스, 독산동 961-14,37.47673608,126.9038565
메트로시티, 독산동 961-9,37.47753929,126.9040184
우미그린빌, 독산동 962-11,37.47719629,126.9031246
THE VIEW, 독산동 962-42,37.47761797,126.9033155
어반팰리스, 독산동 973-1,37.476391,126.9033138
(974-1), 독산동 974-1,37.47605192,126.903938
드래곤팰리스, 돈의동 41-1,37.57232156,126.990106
"	(121-5)	", 동선동1가 121-5,37.59330918,127.0189616
코아루센타시아, 동선동1가 121-6,37.59304586,127.0191742
더프라임, 동선동1가 124,37.59361908,127.0190188
., 동선동1가 85-65,37.59208971,127.0186633
동선아르텔, 동선동1가 85-66,37.59227045,127.0186644
1, 동선동3가 14-3,37.59505038,127.0200362
엔젤오피스텔, 동선동3가 24,37.59537312,127.0205824
피아빌딩, 동선동3가 40-1,37.59578577,127.0208027
골든타워, 동선동4가 111-1,37.59416073,127.0182383
휴림 빌딩, 동선동4가 127,37.5946867,127.0182622
"	(132)	", 동선동4가 132,37.59458964,127.0183255
-140, 동선동4가 140,37.59412915,127.0178847
영팰리스, 동선동4가 148,37.59430898,127.0176788
동선동 한양수자인, 동선동4가 295-1,37.59589026,127.0201998
벨라미아 오피스텔, 동선동4가 295-4,37.59572206,127.0199729
삼선새마을금고본사 사옥, 동선동4가 53,37.59424708,127.0165102
-118, 동소문동4가 118,37.59125023,127.0114625
흥화브라운 동소문빌딩, 동소문동4가 75,37.59064183,127.0100654
부라다리빙텔, 동소문동4가 75-2,37.59086623,127.01067
아우룸타워(Aurum Tower), 동소문동5가 30,37.5920164,127.014554
돈암동 메트로빌, 동소문동6가 121,37.59278558,127.0149953
해피엔딩 오피스텔, 동소문동6가 143-5,37.59336668,127.0160162
시티플레이스, 동소문동6가 3-1,37.5923101,127.013403
센트레빌아스테리움서울, 동자동 45,37.55169672,126.9732423
트윈시티 남산, 동자동 56,37.55087117,126.9727819
오앤하우스, 둔촌동 425-15,37.53323744,127.1399097
파인하우스, 등촌동 506-23,37.55062231,126.8630071
거산파크빌, 등촌동 506-25,37.5506609,126.8628733
한울팰리스, 등촌동 510-2,37.54853918,126.8630663
등촌동노블리움오피스텔, 등촌동 628,37.56047844,126.8556382
현대프린스텔, 등촌동 628-13,37.56008722,126.856363
강변샤르망1단지, 등촌동 628-16,37.55948228,126.85726
강변샤르망3단지, 등촌동 628-17,37.55913018,126.8568204
트라비하우스, 등촌동 628-18,37.55891918,126.8564668
강변샤르망2단지, 등촌동 628-32,37.55924334,126.8575268
등촌동두산위브센티움, 등촌동 631,37.55740048,126.8613862
어위쉬 예다인, 등촌동 63-12,37.5627901,126.851005
월드파크뷰, 등촌동 632-7,37.55533462,126.8649783
등촌투웨니퍼스트2차, 등촌동 633-17,37.5539096,126.8653351
등촌투웨니퍼스트3차, 등촌동 633-21,37.55379396,126.8657735
등촌동 Y HAUS 오피스텔, 등촌동 633-24,37.55335655,126.8658639
대외그랜드오피스텔, 등촌동 635-5,37.55457939,126.8621032
"	(636-1)	", 등촌동 636-1,37.55648406,126.8606398
HT뉴파인, 등촌동 636-42,37.5552577,126.861722
아줄리움, 등촌동 637-16,37.55664095,126.8586491
라빌라스, 등촌동 637-19,37.5562408,126.8592965
청림오피스텔 별관, 등촌동 637-21,37.55604105,126.8592611
유원더블레스, 등촌동 637-27,37.55656259,126.8582793
ACE A-ZONE, 등촌동 639-8,37.55856547,126.856152
퀸즈오피스텔, 등촌동 641-10,37.5566666,126.8561313
등촌2차 크라운팰리스, 등촌동 641-2,37.55673317,126.8568528
등촌크라운팰리스, 등촌동 641-9,37.55656626,126.856473
신도그랑피아오피스텔, 등촌동 642-2,37.55557481,126.8587398
