건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균
충정솔레디움(102동), 충정로3가 30-2,6층,2020 9 23,"    30,000/         0",83.09,25.1,2005,8897.742363877822,14.608233731739706
돈의문센트레빌(215), 냉천동 261-1,1층,2020 9 16,"     6,695/         3",30.19,9.1,2011,5138.461538461539,15.934065934065934
우민A, 북아현동 1-50,7층,2020 9 5,"    31,000/         0",77.25,23.4,2001,12168.66284300495,0.0
인왕궁맨숀, 홍제동 104-6,2층,2020 9 2,"    15,000/         0",54.02,16.3,1974,6127.990391794073,11.880416788392248
인왕산어울림, 홍제동 467,6층,2020 9 11,"    55,000/        40",119.82,36.2,2006,14260.264230859968,7.722330633478745
동일5차101동, 홍제동 312-221,2층,2020 9 16,"    30,000/         0",84.51,25.6,2005,11718.75,0.0
홍일, 홍제동 247-19,4층,2020 9 18,"    20,000/         0",66.12,20.0,1969,9961.20531848224,0.0
거화빌딩, 연희동 81-1,3층,2020 9 11,"     3,000/       120",72.18,21.8,2012,1376.1467889908258,55.04587155963303
에코빌리지, 연희동 169-9,4층,2020 9 21,"    30,000/         0",67.68,20.5,2009,14634.146341463416,0.0
홍은동아더프라임, 홍은동 439-1,11층,2020 9 19,"    37,000/         0",59.8736,18.1,2014,18553.719343506866,0.0
유진맨션, 홍은동 48-84,4층,2020 9 24,"    20,000/         0",110.74,33.5,1970,3912.222111985805,1.347305389221557
에덴, 쌍문동 713,2층,2020 10 12,"    22,000/         0",67.404,20.4,2001,7516.339869281046,10.620915032679738
한양7, 쌍문동 158,1층,2020 10 13,"    27,000/         0",84.92,25.7,1993,9845.582247015174,4.234378576333257
현대3, 쌍문동 719,6층,2020 10 13,"    33,750/         0",84.83,25.7,1995,10453.146216860261,0.0
브라운스톤쌍문, 쌍문동 729,8층,2020 10 16,"    35,000/         5",84.9715,25.7,2006,11667.781176583838,11.623222340828484
솔밭노블리안, 쌍문동 733,2층,2020 10 17,"    30,000/         0",58.25,17.6,2019,12934.099798506579,17.628205128205128
금강, 쌍문동 357-6,6층,2020 10 24,"    12,500/         0",46.97,14.2,2002,8802.816901408452,0.0
쌍문동삼성래미안, 쌍문동 725,11층,2020 10 29,"    28,000/         0",59.9899,18.1,2002,13867.393513367215,6.695043389155218
염광, 쌍문동 722,1층,2020 10 31,"     1,000/        75",59.91,18.1,1997,3867.403314917128,26.703499079189683
퍼스티안, 방학동 705-17,6층,2020 10 30,       500/        47,13.6794,4.1,2013,6679.174484052533,76.36022514071296
새로움아파트, 창동 731-54,8층,2020 10 8,"    28,500/         0",64.56,19.5,2012,14006.256900993743,0.0
수산트리플, 창동 817,5층,2020 10 15,"    42,000/         0",84.89,25.7,2004,9241.603428137383,13.20305838009043
서울가든, 창동 366,1층,2020 10 21,"    25,000/         0",109.63,33.2,1992,10456.822517005454,0.0
창동역 블루핀 2동, 창동 743-23,4층,2020 10 28,"    32,000/         0",65.83,19.9,2020,16091.04487384947,0.0
동도센트리움, 창동 827,11층,2020 10 30,"    45,000/         0",80.822,24.4,2009,14082.422586520945,2.739829993928355
유원도봉, 도봉동 83,4층,2020 10 16,"    30,000/         0",84.93,25.7,1990,10311.284046692608,0.0
도봉파크빌2, 도봉동 647,7층,2020 10 24,"    31,500/         0",84.354,25.5,2002,12117.64705882353,0.0
성재세인트, 신정동 976-3,9층,2020 10 6,"    20,000/         0",31.1,9.4,2013,12211.09102122053,31.45586297760211
상진, 신정동 879-6,7층,2020 10 7,"    28,000/         0",71.4,21.6,2004,13625.36401296091,0.0
서일해오름102, 신정동 1013-14,4층,2020 10 8,"    38,500/         0",84.63,25.6,2005,15283.203125,0.0
신세계하이츠, 신정동 979-34,4층,2020 10 9,"    35,000/         0",75.25,22.8,2005,14371.257665421881,0.0
양천시장주상복합, 신정동 883,7층,2020 10 14,"    29,000/         0",57.76,17.5,2001,16571.428571428572,0.0
목동삼성, 신정동 1278-1,13층,2020 10 20,"     1,982/         4",32.76,9.9,1996,1166.3838383838388,9.131313131313131
세양청마루2차주상복합, 신정동 201-1,6층,2020 10 20,"    45,000/         0",84.42,25.5,2008,13333.333333333336,6.5359477124183005
프리우스, 신정동 86-6,3층,2020 10 20,"    20,000/       150",77.84,23.5,2006,9334.054573867052,39.6381776655848
목동신세계아파트, 신정동 119-175,4층,2020 10 22,"    44,000/         0",70.2,21.2,2016,22518.356724602658,0.0
진명, 신정동 282-16,2층,2020 10 23,"    25,000/         0",52.32,15.8,1992,15822.78481012658,0.0
대림, 신정동 333,8층,2020 10 23,"    55,000/         0",84.89,25.7,1992,19195.727950713357,2.4643320363164722
상전, 신정동 296-28,6층,2020 10 27,"    60,000/         0",110.52,33.4,1999,17531.603459747173,0.0
MJ스위츠, 신정동 88-27,3층,2020 10 29,"    50,000/         0",49.92,15.1,2020,18211.920529801326,46.35761589403973
이펜하우스1단지, 신정동 1321,4층,2020 10 31,"    32,550/         0",59.93,18.1,2011,11354.939284936081,0.8458805616646929
