건물명,주소,경도,위도
"	(132)	", 동선동4가 132,127.0183255,37.59458964
-140, 동선동4가 140,127.0178847,37.59412915
영팰리스, 동선동4가 148,127.0176788,37.59430898
동선동 한양수자인, 동선동4가 295-1,127.0201998,37.59589026
벨라미아 오피스텔, 동선동4가 295-4,127.0199729,37.59572206
삼선새마을금고본사 사옥, 동선동4가 53,127.0165102,37.59424708
-118, 동소문동4가 118,127.0114625,37.59125023
흥화브라운 동소문빌딩, 동소문동4가 75,127.0100654,37.59064183
부라다리빙텔, 동소문동4가 75-2,127.01067,37.59086623
아우룸타워(Aurum Tower), 동소문동5가 30,127.014554,37.5920164
돈암동 메트로빌, 동소문동6가 121,127.0149953,37.59278558
해피엔딩 오피스텔, 동소문동6가 143-5,127.0160162,37.59336668
시티플레이스, 동소문동6가 3-1,127.013403,37.5923101
센트레빌아스테리움서울, 동자동 45,126.9732423,37.55169672
트윈시티 남산, 동자동 56,126.9727819,37.55087117
오앤하우스, 둔촌동 425-15,127.1399097,37.53323744
파인하우스, 등촌동 506-23,126.8630071,37.55062231
거산파크빌, 등촌동 506-25,126.8628733,37.5506609
한울팰리스, 등촌동 510-2,126.8630663,37.54853918
등촌동노블리움오피스텔, 등촌동 628,126.8556382,37.56047844
현대프린스텔, 등촌동 628-13,126.856363,37.56008722
강변샤르망1단지, 등촌동 628-16,126.85726,37.55948228
강변샤르망3단지, 등촌동 628-17,126.8568204,37.55913018
트라비하우스, 등촌동 628-18,126.8564668,37.55891918
강변샤르망2단지, 등촌동 628-32,126.8575268,37.55924334
등촌동두산위브센티움, 등촌동 631,126.8613862,37.55740048
어위쉬 예다인, 등촌동 63-12,126.851005,37.5627901
월드파크뷰, 등촌동 632-7,126.8649783,37.55533462
등촌투웨니퍼스트2차, 등촌동 633-17,126.8653351,37.5539096
등촌투웨니퍼스트3차, 등촌동 633-21,126.8657735,37.55379396
등촌동 Y HAUS 오피스텔, 등촌동 633-24,126.8658639,37.55335655
대외그랜드오피스텔, 등촌동 635-5,126.8621032,37.55457939
"	(636-1)	", 등촌동 636-1,126.8606398,37.55648406
HT뉴파인, 등촌동 636-42,126.861722,37.5552577
아줄리움, 등촌동 637-16,126.8586491,37.55664095
라빌라스, 등촌동 637-19,126.8592965,37.5562408
청림오피스텔 별관, 등촌동 637-21,126.8592611,37.55604105
유원더블레스, 등촌동 637-27,126.8582793,37.55656259
ACE A-ZONE, 등촌동 639-8,126.856152,37.55856547
퀸즈오피스텔, 등촌동 641-10,126.8561313,37.5566666
등촌2차 크라운팰리스, 등촌동 641-2,126.8568528,37.55673317
등촌크라운팰리스, 등촌동 641-9,126.856473,37.55656626
신도그랑피아오피스텔, 등촌동 642-2,126.8587398,37.55557481
