건물명,주소,층,거래일,거래금액,면적,평,건축년도,10평보증금평균,10평월세평균,건물형태,보증금평가,월세평가,경도,위도
청담빌(102-15),삼전동 102-15,4층,2020 10 12,"     3,000/        90",35.37,10.7,2014,2803.73831775701,84.11214953271029,연립/다세대,적정보증금,고월세,127.123962,37.491144
세종빌리지,삼전동 110-1,2층,2020 10 15,"     4,000/        67",37.71,11.4,2003,3508.771929824561,58.771929824561404,연립/다세대,적정보증금,고월세,127.127365,37.489268
아크로빌,삼전동 107-13,4층,2020 10 16,"     3,000/        80",43.72,13.2,2005,1350.03885003885,55.94405594405596,연립/다세대,적정보증금,고월세,127.123747,37.502802
(42-6),삼전동 42-6,2층,2020 10 17,"     1,000/        50",21.3,6.4,2015,7510.080645161292,49.69758064516129,연립/다세대,적정보증금,고월세,127.11942,37.511042
(68-0),삼전동 68,4층,2020 10 17,"    18,000/         3",44.68,13.5,2002,7023.809523809523,39.68253968253968,연립/다세대,적정보증금,고월세,127.033579,37.614468
하나울빌라,삼전동 105-16,2층,2020 10 17,"     1,000/        52",27.01,8.2,2011,1219.5121951219514,63.41463414634147,연립/다세대,적정보증금,고월세,127.126956,37.481696
태광,삼전동 29-2,6층,2020 10 20,       500/        44,14.93,4.5,2015,8678.885070637649,69.62962962962963,연립/다세대,적정보증금,고월세,127.127468,37.496982
정은아트빌(10-7),삼전동 10-7,3층,2020 10 20,"     1,000/        70",40.06,12.1,2002,3079.418587791793,41.87509061910976,연립/다세대,적정보증금,고월세,127.118952,37.508551
(164-14),삼전동 164-14,4층,2020 10 25,"     5,500/        53",39.07,11.8,2002,4661.016949152542,44.91525423728813,연립/다세대,적정보증금,고월세,127.118497,37.513585
스카이빌,삼전동 37-26,2층,2020 10 27,"     8,000/        47",39.95,12.1,2015,6611.570247933885,38.84297520661157,연립/다세대,적정보증금,고월세,127.124106,37.511734
(164-8),삼전동 164-8,4층,2020 10 28,"    10,000/        50",55.84,16.9,2012,2721.4502581831885,52.933093987545156,연립/다세대,적정보증금,고월세,127.130614,37.487003
(43-19),삼전동 43-19,5층,2020 10 28,"     5,000/       150",89.9,27.2,2004,974.4747899159663,82.93067226890757,연립/다세대,적정보증금,고월세,127.125156,37.495469
금경주택,삼전동 56-13,5층,2020 10 29,"    10,000/        42",45.09,13.6,2001,6033.49770765722,41.569493811376944,연립/다세대,적정보증금,고월세,127.003535,37.61065900000001
(179-4),삼전동 179-4,2층,2020 10 29,"     1,000/        46",24.93,7.5,2002,1257.4525745257456,59.87533875338754,연립/다세대,적정보증금,고월세,127.116875,37.510131
타워빌라,삼전동 125-7,4층,2020 10 30,"     3,000/        67",44.28,13.4,2015,4244.2110435476925,78.39506172839506,연립/다세대,적정보증금,고월세,127.126347,37.488369
BISQUEHOUSE,삼전동 64-17,3층,2020 10 31,       500/        58,15.64,4.7,2012,3887.070376432079,103.08919803600656,연립/다세대,적정보증금,고월세,127.120898,37.506593
