지역코드,건물명,주소,층,거래일,거래금액,면적,건축년도,평,보증금,월세
11170,이안 용산1차, 문배동 7-6,3층,2020 2 8,"21,000/0",30.04,2005,9.1,"21,000",0
11170,용산KCC웰츠타워, 문배동 11-10,6층,2020 2 9,"25,500/0",28.14,2015,8.5,"25,500",0
11170,용산큐브, 문배동 24-4,7층,2020 2 10,"18,000/0",17.46,2013,5.3,"18,000",0
11170,이안용산프리미어, 문배동 3-3,2층,2020 2 11,"40,950/0",66.24,2007,20.0,"40,950",0
11170,지오베르크, 문배동 17-1,2층,2020 2 11,"20,000/0",31.35,2004,9.5,"20,000",0
11170,용산큐브, 문배동 24-4,4층,2020 2 11,"18,000/0",17.46,2013,5.3,"18,000",0
11170,용산큐브, 문배동 24-4,5층,2020 2 12,"18,000/0",17.46,2013,5.3,"18,000",0
11170,프라임펠리스, 문배동 24-8,5층,2020 2 14,"1,000/80",27.83,2012,8.4,"1,000",80
11170,용산아크로타워, 문배동 24-21,8층,2020 2 14,"31,000/0",38.37,2007,11.6,"31,000",0
11170,리첸시아 용산B, 문배동 40-31,2층,2020 2 15,"31,800/0",37.68,2010,11.4,"31,800",0
11170,리첸시아 용산B, 문배동 40-31,2층,2020 2 15,"32,000/0",37.68,2010,11.4,"32,000",0
11170,리첸시아 용산B, 문배동 40-31,2층,2020 2 15,"32,000/0",37.68,2010,11.4,"32,000",0
11170,용산씨제이나인파크, 문배동 24-6,7층,2020 2 15,"42,000/0",54.96,2007,16.6,"42,000",0
11170,삼라마이다스빌, 문배동 40-19,4층,2020 2 17,"18,500/0",28.23,2004,8.5,"18,500",0
11170,프라임펠리스, 문배동 24-8,11층,2020 2 17,"3,000/52",18.55,2012,5.6,"3,000",52
11170,용산씨제이나인파크, 문배동 24-6,12층,2020 2 20,"42,000/0",54.96,2007,16.6,"42,000",0
11170,용산KCC웰츠타워, 문배동 11-10,4층,2020 2 20,"26,500/0",35.79,2015,10.8,"26,500",0
