가게,주소,도로명주소,경도,위도,입지요건
맥도날드 한국외대점,이문동 305-151,서울 동대문구 휘경로 15,127.061894,37.59587838,맥도널드
맥도날드 홍제역점,홍제동 253-11,서울 서대문구 통일로 442-1,126.94462990000001,37.58866348,맥도널드
맥도날드 안암점,안암동5가 102-33,서울 성북구 고려대로24길 42,127.029265,37.58440453,맥도널드
맥도날드 서울역점,동자동 43-205,서울 중구 한강대로 405 110호,126.97038119999999,37.55590907,맥도널드
맥도날드 명지대점,남가좌동 324-3,서울 서대문구 거북골로 25,126.9247382,37.57993721,맥도널드
맥도날드 명지대점 개방화장실,남가좌동 324-3,서울 서대문구 거북골로 25,126.9247382,37.57993721,맥도널드
맥도날드 한티역,대치동 938-22,서울 강남구 도곡로 409 엠프리스빌딩,127.05516670000002,37.49736941,맥도널드
맥도날드 합정메세나폴리스점,서교동 490,서울 마포구 양화로 45 2층,126.9142006,37.55076126,맥도널드
맥도날드 방학역DT점,도봉동 620-25,서울 도봉구 도봉로 735,127.04327849999999,37.67010823,맥도널드
맥도날드 한양대점,행당동 31-7,서울 성동구 왕십리로 227,127.04191370000001,37.55722672,맥도널드
맥도날드 송정역점,공항동 45-38,서울 강서구 공항대로 21,126.80969499999999,37.561752,맥도널드
한국맥도널드 송정역점 개방화장실,공항동 45-38,서울 강서구 공항대로 21,126.80969499999999,37.561752,맥도널드
맥도날드 대학로점,동숭동 1-34,서울 종로구 대학로 130,127.00211409999999,37.58288903,맥도널드
맥도날드 대학로 개방화장실,동숭동 1-34,서울 종로구 대학로 130,127.00211409999999,37.58288903,맥도널드
맥도날드 파리공원점,목동 908-25,서울 양천구 목동서로 45,126.88102679999999,37.53718763,맥도널드
맥도날드 명동2호점,회현동3가 1-5,서울 중구 퇴계로 116-1,126.98464270000001,37.56055149,맥도널드
맥도날드 압구정CGV점,신사동 603-2,"서울 강남구 논현로 848 지하1층, 1층",127.02879209999999,37.52457166,맥도널드
맥도날드 구의역점,자양동 216-11,서울 광진구 아차산로 376,127.0844865,37.53643277,맥도널드
맥도날드 목동점,신정동 899-6,서울 양천구 목동로 221,126.86373229999998,37.5281571,맥도널드
맥도날드 가산디지털점,가산동 50-3,서울 금천구 벚꽃로 298 대륭포스트6차 1층,126.8838628,37.48145519,맥도널드
맥도날드 중계역점,상계동 763-2,서울 노원구 동일로 1341 장우빌딩 1층,127.06209040000002,37.64833243,맥도널드
맥도날드 구산점,구산동 1-14,서울 은평구 연서로 131,126.91668999999999,37.6106234,맥도널드
맥도날드 가산비지니스센터점,가산동 371-6,서울 금천구 가산디지털1로 165 1층,126.8810284,37.48022731,맥도널드
맥도날드 성균관대점,명륜2가 197-1,서울 종로구 창경궁로 241-1,126.9988518,37.58339565,맥도널드
맥도날드 신도림디큐브점,신도림동 692,서울 구로구 경인로 662 지하2층,126.88820790000001,37.5081329,맥도널드
맥도날드 삼선교점,동소문동1가 32-3,서울 성북구 동소문로 13 일화빌딩 1층,127.00753279999999,37.58940636,맥도널드
삼선동 맥도날드 개방화장실,동소문동1가 32-3,서울 성북구 동소문로 13,127.00753279999999,37.58940636,맥도널드
맥도날드 동묘점,창신동 290,서울 종로구 종로 339,127.0151232,37.57316302,맥도널드
맥도날드 미아역점,미아동 197-5,서울 강북구 도봉로 204,127.026192,37.62695664,맥도널드
맥도날드 은평이마트점,응암동 90-1,서울 은평구 은평로 111 8층,126.92022250000001,37.60038151,맥도널드
맥도날드 중앙대점,흑석동 221,서울 동작구 흑석로 84 R&D센터 지하1층,126.9587426,37.50506074,맥도널드
맥도날드 중계,중계동 359-14,서울 노원구 중계로 218,127.0759994,37.65084941,맥도널드
맥도날드 상봉이마트,망우동 506-1,서울 중랑구 상봉로 118,127.0936345,37.59647742,맥도널드
맥도날드 코엑스점,,서울 강남구 삼성동 159-9 지하1층 A102호,127.05887779999999,37.5102706,맥도널드
맥도날드 신도림테크노점,구로동 3-25,서울 구로구 새말로 97 1층,126.89015069999999,37.50706722,맥도널드
맥도날드 한신점,하계동 284,서울 노원구 한글비석로 57,127.0688345,37.63660314,맥도널드
맥도날드 마리오아울렛점,가산동 60-22,서울 금천구 디지털로 185 1관,126.8874635,37.47820784,맥도널드
맥도날드 성수이마트,성수동2가 333-16,서울 성동구 뚝섬로 379 3층 푸드코트,127.05353649999999,37.53996409,맥도널드
한국맥도날드 본사,공평동 70,서울 종로구 종로 51 종로타워 14층,126.9836138,37.57073171,맥도널드
